1;1784;9.900000;1778;small
2;1336;9.900000;17;small
3;4360;9.900000;22;small
4;3606;9.900000;139;small
5;2536;9.900000;90;small
6;3984;9.900000;75;small
7;2658;9.900000;21;small
8;2030;9.900000;42;small
9;1935;9.900000;142;small
10;2415;9.900000;146;small
11;3804;9.900000;372;small
12;3575;9.900000;374;small
13;2263;9.900000;453;small
14;3674;9.900000;483;small
15;3306;9.900000;373;small
16;3511;9.900000;588;small
17;2216;9.900000;679;small
18;3334;9.900000;591;small
19;3180;9.900000;707;small
20;3228;9.900000;783;small
21;3465;9.900000;844;small
22;1956;9.900000;817;small
23;3299;9.900000;809;small
24;2118;9.900000;873;small
25;3610;9.900000;908;small
26;3458;9.900000;866;small
27;2503;9.900000;958;small
28;3825;9.900000;888;small
29;2096;9.900000;911;small
30;3354;9.900000;960;small
31;4185;9.900000;1050;small
32;2188;9.900000;1023;small
33;4069;9.900000;1034;small
34;4287;9.900000;1124;small
35;3986;9.900000;1147;small
36;3338;9.900000;1206;small
37;4168;9.900000;1193;small
38;2467;9.900000;1135;small
39;4044;9.900000;1302;small
40;2340;9.900000;1146;small
41;4337;9.900000;1184;small
42;3524;9.900000;1225;small
43;2257;9.900000;1324;small
44;1934;9.900000;1186;small
45;4346;9.900000;1264;small
46;3040;9.900000;1220;small
47;3676;9.900000;1182;small
48;4337;9.900000;1369;small
49;1876;9.900000;1342;small
50;3020;9.900000;1322;small
51;1618;9.900000;1433;small
52;1738;9.900000;1100;small
53;3145;9.900000;1358;small
54;1821;9.900000;1429;small
55;1479;9.900000;1421;small
56;2021;9.900000;1370;small
57;4136;9.900000;1434;small
58;4305;9.900000;1533;small
59;4045;9.900000;1526;small
60;1395;9.900000;1440;small
61;3341;9.900000;1384;small
62;2017;9.900000;1565;small
63;3642;9.900000;1504;small
64;1827;9.900000;1558;small
65;2182;9.900000;1388;small
66;3518;9.900000;1567;small
67;3627;9.900000;1575;small
68;3222;9.900000;1666;small
69;2471;9.900000;1614;small
70;2420;9.900000;1598;small
71;1452;9.900000;1580;small
72;3809;9.900000;1661;small
73;1729;9.900000;1575;small
74;3649;9.900000;1805;small
75;1432;9.900000;1657;small
76;2358;9.900000;1730;small
77;2278;9.900000;1740;small
78;3898;9.900000;1834;small
79;3933;9.900000;1779;small
80;2691;9.900000;1768;small
81;3988;9.900000;1726;small
82;4124;9.900000;1742;small
83;2536;9.900000;1726;small
84;2345;9.900000;1767;small
85;1272;9.900000;1797;small
86;3941;9.900000;1828;small
87;1690;9.900000;1813;small
88;2519;9.900000;1806;small
89;3658;9.900000;1869;small
90;3523;9.900000;1927;small
91;1675;9.900000;1875;small
92;2675;9.900000;1839;small
93;1998;9.900000;1852;small
94;2293;9.900000;1989;small
95;2468;9.900000;1965;small
96;2905;9.900000;1940;small
97;4075;9.900000;2047;small
98;3274;9.900000;2017;small
99;2904;9.900000;2010;small
100;948;9.900000;16;small
101;1200;9.900000;190;small
102;449;9.900000;102;small
103;1446;9.900000;203;small
104;3421;9.900000;94;small
105;5307;9.900000;257;small
106;4198;9.900000;96;small
107;5078;9.900000;264;small
108;4481;9.900000;29;small
109;4254;9.900000;97;small
110;3312;9.900000;50;small
111;4774;9.900000;53;small
112;3599;9.900000;182;small
113;734;9.900000;185;small
114;3753;9.900000;302;small
115;1023;9.900000;118;small
116;2270;9.900000;155;small
117;3106;9.900000;236;small
